kind,pref,name,area,lat,lon,mlat,mlon
port,北海道,えりも港,えりも町,42.01668,143.14231,42.01668,143.14231
port,北海道,余市港,余市町,43.21056,140.78111,43.21056,140.78111
port,北海道,函館港,函館市,41.79083,140.69389,41.79083,140.69389
port,北海道,十勝港,広尾町,42.29556,143.33444,42.29556,143.33444
port,北海道,堀株港,,43.0305,140.52112,43.0305,140.52112
port,北海道,増毛港,増毛町,43.86134,141.52702,43.86134,141.52702
port,北海道,天塩港,天塩町,44.88273,141.72979,44.88273,141.72979
port,北海道,天売港,羽幌町,44.43996,141.33447,44.43996,141.33447
port,北海道,奧尻港,奥尻町,42.17197,139.52159,42.17197,139.52159
port,北海道,宗谷港,稚内市,45.52313,141.94571,45.52313,141.94571
port,北海道,室蘭港,室蘭市,42.34796,140.95977,42.34796,140.95977
port,北海道,小樽港,小樽市,43.20028,141.01861,43.20028,141.01861
port,北海道,岩内港,岩内町,42.99305,140.50957,42.99305,140.50957
port,北海道,崎無異港,,43.82431,145.08944,43.82431,145.08944
port,北海道,忠類港,,43.72537,145.09584,43.72537,145.09584
port,北海道,昆布刈石港,,42.76271,143.76527,42.76271,143.76527
port,北海道,松前港,松前町,41.42091,140.08814,41.42091,140.08814
port,北海道,枝幸港,枝幸町,44.93611,142.59306,44.93611,142.59306
port,北海道,根室港,根室市,43.34519,145.57535,43.34519,145.57535
port,北海道,森港,森町,42.11227,140.59745,42.11227,140.59745
port,北海道,椴法華港,函館市,41.82346,141.17146,41.82346,141.17146
port,北海道,江差港,江差町,41.86803,140.11976,41.86803,140.11976
port,北海道,沓形港,利尻町,45.19263,141.13397,45.19263,141.13397
port,北海道,浜猿払港,,45.2793,142.23057,45.2793,142.23057
port,北海道,浦河港,浦河町,42.1652,142.7602,42.1652,142.7602
port,北海道,瀬棚港,せたな町,42.45278,139.83889,42.45278,139.83889
port,北海道,焼尻港,羽幌町,44.44736,141.42434,44.44736,141.42434
port,北海道,留萌港,留萌市,43.96444,141.62889,43.96444,141.62889
port,北海道,白老港,白老町,42.51797,141.3202,42.51797,141.3202
port,北海道,石狩港,石狩市,43.26303,141.3524,43.26303,141.3524
port,北海道,石狩湾新港,石狩湾新港管理組合,43.21111,141.26972,43.21111,141.26972
port,北海道,稚内港,稚内市,45.41455,141.70685,45.41455,141.70685
port,北海道,紋別港,紋別市,44.36058,143.36854,44.36058,143.36854
port,北海道,網走港,網走市,44.02872,144.2861,44.02872,144.2861
port,北海道,羽幌港,羽幌町,44.37465,141.6965,44.37465,141.6965
port,北海道,苫小牧港,苫小牧港管理組合,42.59667,141.72194,42.59667,141.72194
port,北海道,西恵山港,,41.78278,141.14861,41.78278,141.14861
port,北海道,釧路港,釧路市,42.98455,144.32336,42.98455,144.32336
port,北海道,霧多布港,浜中町,43.08705,145.12609,43.08705,145.12609
port,北海道,香深港,礼文町,45.30105,141.04959,45.30105,141.04959
port,北海道,鴛泊港,利尻富士町,45.23881,141.23504,45.23881,141.23504
fishing,北海道,えりも岬漁港,えりも,41.93568,143.24477,41.93568,143.24477
fishing,北海道,イタンキ漁港,室蘭,42.33722,141.03161,42.33722,141.03161
fishing,北海道,オッカバケ漁港,羅臼,44.07355,145.24389,44.07355,145.24389
fishing,北海道,サロマ湖漁港,常呂 佐呂間 湧別,44.17987,143.7843,44.17987,143.7843
fishing,北海道,トーサムポロ漁港,歯舞,43.39101,145.74498,43.39101,145.74498
fishing,北海道,三泊漁港,新星マリン,43.98176,141.64617,43.98176,141.64617
fishing,北海道,三石漁港,ひだか,42.24667,142.54389,42.24667,142.54389
fishing,北海道,上の国漁港,ひやま,41.80753,140.09839,41.80753,140.09839
fishing,北海道,上浦漁港,ひやま,42.22692,139.81284,42.22692,139.81284
fishing,北海道,上浦漁港,佐渡,33.2025,131.86226,33.2025,131.86226
fishing,北海道,上磯漁港,上磯郡,41.81678,140.64354,41.81678,140.64354
fishing,北海道,中の川漁港,上磯郡,41.63429,140.43251,41.63429,140.43251
fishing,北海道,中歌漁港,ひやま,42.48065,139.84595,42.48065,139.84595
fishing,北海道,久遠漁港,ひやま,42.22122,139.83447,42.22122,139.83447
fishing,北海道,乙忠部漁港,枝幸,44.78365,142.71991,44.78365,142.71991
fishing,北海道,乙部漁港,ひやま,41.96961,140.1302,41.96961,140.1302
fishing,北海道,五勝手漁港,ひやま,41.84822,140.12255,41.84822,140.12255
fishing,北海道,仙法志漁港,仙法志,45.11355,141.20697,45.11355,141.20697
fishing,北海道,仙鳳趾漁港,昆布森,42.97889,144.72639,42.97889,144.72639
fishing,北海道,伊達漁港,いぶり噴火湾,42.46581,140.85745,42.46581,140.85745
fishing,北海道,住吉漁港,函館市,41.75478,140.72139,41.75478,140.72139
fishing,北海道,余別漁港,東しゃこたん,43.33058,140.38296,43.33058,140.38296
fishing,北海道,余市河口漁港,余市郡,43.19838,140.79125,43.19838,140.79125
fishing,北海道,元和漁港,ひやま,42.00973,140.10366,42.00973,140.10366
fishing,北海道,元地漁港,香深,45.30519,141.02198,45.30519,141.02198
fishing,北海道,元稲府漁港,雄武,44.60645,142.94351,44.60645,142.94351
fishing,北海道,入舸漁港,東しゃこたん,43.36541,140.46882,43.36541,140.46882
fishing,北海道,八雲漁港,八雲町,42.25276,140.28724,42.25276,140.28724
fishing,北海道,内路漁港,香深 船泊,45.38907,141.05419,45.38907,141.05419
fishing,北海道,冬島漁港,えりも,42.10005,142.98497,42.10005,142.98497
fishing,北海道,出足平漁港,余市郡,43.23877,140.73492,43.23877,140.73492
fishing,北海道,函館湯川漁港,函館市,41.77256,140.78013,41.77256,140.78013
fishing,北海道,函館漁港,函館市,41.77145,140.69889,41.77145,140.69889
fishing,北海道,初浦漁港,北るもい,44.53364,141.7639,44.53364,141.7639
fishing,北海道,別海漁港,別海,43.38419,145.2906,43.38419,145.2906
fishing,北海道,別苅漁港,増毛,43.83344,141.47537,43.83344,141.47537
fishing,北海道,前浜漁港,北るもい,44.42698,141.33229,44.42698,141.33229
fishing,北海道,力昼漁港,北るもい,44.22424,141.65449,44.22424,141.65449
fishing,北海道,千代ノ浦漁港,釧路市東部,42.96559,144.39266,42.96559,144.39266
fishing,北海道,千走漁港,島牧,42.68886,139.99974,42.68886,139.99974
fishing,北海道,南浜漁港,鬼脇,45.10856,141.27252,45.10856,141.27252
fishing,北海道,厚内漁港,大津,42.80333,143.82167,42.80333,143.82167
fishing,北海道,厚岸漁港,厚岸,43.03949,144.84344,43.03949,144.84344
fishing,北海道,厚瀬漁港,島牧,42.74058,140.11154,42.74058,140.11154
fishing,北海道,厚田漁港,石狩湾,43.40028,141.42734,43.40028,141.42734
fishing,北海道,厚賀漁港,ひだか,42.43392,142.20761,42.43392,142.20761
fishing,北海道,原口漁港,松前さくら,41.60644,139.98286,41.60644,139.98286
fishing,北海道,原歌漁港,島牧,42.68992,139.98668,42.68992,139.98668
fishing,北海道,友知漁港,歯舞,43.31476,145.67335,43.31476,145.67335
fishing,北海道,古平漁港,東しゃこたん,43.27639,140.645,43.27639,140.645
fishing,北海道,古潭漁港,石狩湾,43.36139,141.42306,43.36139,141.42306
fishing,北海道,古部漁港,南かやべ,41.86589,141.11691,41.86589,141.11691
